USV,ps_name,glyph_name,sil_set,rationale,additional_notes
U+202B,uni202B,righttoleftembedding,rtl,D,
U+202C,uni202C,popdirectionalformatting,rtl,D,
U+202D,uni202D,lefttorightoverride,rtl,D,
U+202E,uni202E,righttoleftoverride,rtl,D,
U+202F,uni202F,narrownbspace,basic,C,
U+2030,perthousand,perthousand,basic,A,
U+2039,guilsinglleft,guilsinglleft,basic,A,
U+203A,guilsinglright,guilsinglright,basic,A,
U+2044,fraction,fraction,basic,B,
U+2060,uni2060,wordjoiner,basic,D,
U+2066,uni2066,lefttorightisolate,rtl,D,
U+2067,uni2067,righttoleftisolate,rtl,D,
U+2068,uni2068,firststrongisolate,rtl,D,
U+2069,uni2069,popdirectionalisolate,rtl,D,
U+206C,uni206C,inhibitformshaping-ar,rtl,D,
U+206D,uni206D,activateformshaping-ar,rtl,D,
U+2074,uni2074,foursuperior,basic,E,
U+20AC,Euro,euro,basic,A,
U+2122,trademark,trademark,basic,A,
U+2126,Omega,Ohm,basic,B,
U+2202,partialdiff,partialdiff,basic,B,
U+2206,Delta,Delta,basic,B,
U+220F,product,product,basic,B,
U+2211,summation,summation,basic,B,
U+2212,minus,minus,basic,E,
U+2215,uni2215,divisionslash,basic,E,
U+2219,uni2219,bulletoperator,basic,C,Some applications use this instead of 00B7
U+221A,radical,radical,basic,B,
U+221E,infinity,infinity,basic,B,
U+222B,integral,integral,basic,B,
U+2248,approxequal,approxequal,basic,B,
U+2260,notequal,notequal,basic,B,
U+2264,lessequal,lessequal,basic,B,
U+2265,greaterequal,greaterequal,basic,B,
U+2423,blank,blank,basic,F,Advanced width should probably be the same as a space.
U+25CA,lozenge,lozenge,basic,B,
U+25CC,uni25CC,dottedCircle,basic,J,"If your OpenType font supports combining diacritics, be sure to include U+25CC DOTTED CIRCLE in your font, and optionally include this in your positioning rules for all your combining marks. This is because Uniscribe will insert U+25CC between ""illegal"" diacritic sequences (such as two U+064E characters in a row) to make the mistake more visible. (https://docs.microsoft.com/en-us/typography/script-development/arabic#handling-invalid-combining-marks)"
U+F130,uniF130,FontBslnSideBrngMrkrLft,sil,K,
U+F131,uniF131,FontBslnSideBrngMrkrRt,sil,K,
U+FB01,fi,fi,basic,B,
U+FB02,fl,fl,basic,B,
U+FE00,uniFE00,VS1,basic,H,Add this to the cmap and point them to null glyphs
U+FE01,uniFE01,VS2,basic,H,Add this to the cmap and point them to null glyphs
U+FE02,uniFE02,VS3,basic,H,Add this to the cmap and point them to null glyphs
U+FE03,uniFE03,VS4,basic,H,Add this to the cmap and point them to null glyphs
U+FE04,uniFE04,VS5,basic,H,Add this to the cmap and point them to null glyphs
U+FE05,uniFE05,VS6,basic,H,Add this to the cmap and point them to null glyphs
U+FE06,uniFE06,VS7,basic,H,Add this to the cmap and point them to null glyphs
U+FE07,uniFE07,VS8,basic,H,Add this to the cmap and point them to null glyphs
U+FE08,uniFE08,VS9,basic,H,Add this to the cmap and point them to null glyphs
U+FE09,uniFE09,VS10,basic,H,Add this to the cmap and point them to null glyphs
U+FE0A,uniFE0A,VS11,basic,H,Add this to the cmap and point them to null glyphs
U+FE0B,uniFE0B,VS12,basic,H,Add this to the cmap and point them to null glyphs
U+FE0C,uniFE0C,VS13,basic,H,Add this to the cmap and point them to null glyphs
U+FE0D,uniFE0D,VS14,basic,H,Add this to the cmap and point them to null glyphs
U+FE0E,uniFE0E,VS15,basic,H,Add this to the cmap and point them to null glyphs
U+FE0F,uniFE0F,VS16,basic,H,Add this to the cmap and point them to null glyphs
U+FEFF,uniFEFF,zeroWidthNoBreakSpace,basic,I,Making this visible might be helpful
U+FFFC,uniFFFC,objectReplacementCharacter,basic,G,It is easier for someone looking at the converted text to figure out what's going on if these have a visual representation.
U+FFFD,uniFFFD,replacementCharacter,basic,G,It is easier for someone looking at the converted text to figure out what's going on if these have a visual representation.
,,,,,
